msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,40630.0,40659.0,43407.0,44149.0,44303.0,47420.0,48016.0,51130.0,48021.0,54808.0,54422.5,54037.0
"Aguadilla-Isabela, PR",10380,14313.0,14951.0,15339.0,15323.0,15886.0,14485.0,14546.0,16645.0,17064.0,16311.0,17118.5,17926.0
"Akron, OH",10420,46521.0,47032.0,49731.0,49984.0,50538.0,51580.0,51598.0,56106.0,60019.0,57158.0,60262.5,63367.0
"Albany, GA",10500,34002.0,32775.0,34469.0,34756.0,39071.0,40143.0,40667.0,43614.0,44896.0,40625.0,44642.0,48659.0
"Albany-Lebanon, OR",10540,42900.0,42565.0,43489.0,45130.0,43428.0,47527.0,51310.0,51541.0,54113.0,61488.0,63342.0,65196.0
"Albany-Schenectady-Troy, NY",10580,55796.0,58617.0,60625.0,59626.0,62265.0,63080.0,65855.0,68681.0,71301.0,73398.0,75835.0,78272.0
"Albuquerque, NM",10740,47383.0,45027.0,46725.0,48355.0,47581.0,48937.0,50954.0,50906.0,51134.0,58512.0,59291.0,60070.0
"Alexandria, LA",10780,40017.0,35692.0,40896.0,39960.0,40209.0,42778.0,42136.0,40585.0,47391.0,50553.0,48792.5,47032.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,55630.0,54169.0,55766.0,56543.0,60320.0,60671.0,63022.0,63944.0,65929.0,70793.0,71425.5,72058.0
"Altoona, PA",11020,42990.0,43136.0,41258.0,42164.0,44019.0,45432.0,43443.0,45957.0,49942.0,51004.0,54182.5,57361.0
"Amarillo, TX",11100,46390.0,47350.0,46434.0,49207.0,51280.0,51734.0,54478.0,53922.0,53087.0,53510.0,55932.0,58354.0
"Ames, IA",11180,48034.0,45866.0,49489.0,50279.0,46091.0,50811.0,53371.0,60351.0,54586.0,62181.0,63375.0,64569.0
"Anchorage, AK",11260,71490.0,71700.0,71494.0,76831.0,75682.0,78238.0,82203.0,76871.0,81037.0,80676.0,82576.0,84476.0
"Ann Arbor, MI",11460,55880.0,56612.0,56330.0,59660.0,62845.0,61977.0,65601.0,70286.0,71860.0,76576.0,76747.0,76918.0
"Anniston-Oxford, AL",11500,36675.0,39037.0,39169.0,36205.0,41428.0,42346.0,41687.0,46763.0,45818.0,48156.0,47340.0,46524.0
"Appleton, WI",11540,55883.0,58172.0,60166.0,58410.0,60106.0,61245.0,63902.0,65990.0,65826.0,68335.0,71333.0,74331.0
"Arecibo, PR",11640,,,,17833.0,16244.0,15750.0,18428.0,16624.0,17347.0,19163.0,19730.0,20297.0
"Asheville, NC",11700,42168.0,41969.0,43172.0,43916.0,46917.0,44826.0,50541.0,50015.0,52410.0,57428.0,58844.5,60261.0
"Athens-Clarke County, GA",12020,40391.0,38663.0,38028.0,38227.0,41761.0,38643.0,43165.0,46521.0,51503.0,50962.0,55295.0,59628.0
"Atlanta-Sandy Springs-Alpharetta, GA",12060,53182.0,52639.0,54628.0,55733.0,56166.0,60219.0,62613.0,65381.0,69464.0,71742.0,74665.5,77589.0
"Atlantic City-Hammonton, NJ",12100,52571.0,50829.0,51191.0,52127.0,55313.0,54052.0,56778.0,61777.0,61212.0,63389.0,64888.5,66388.0
