msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,90900.0,81900.0,94600.0,86800.0,98900.0,107400.0,101100.0,114500.0,119500.0,133500.0,141250.0,149000.0
"Aguadilla-Isabela, PR",10380,97400.0,111100.0,119600.0,97400.0,105900.0,99600.0,97600.0,96500.0,95000.0,93700.0,104000.0,114300.0
"Akron, OH",10420,145000.0,139800.0,131800.0,136600.0,134700.0,146300.0,144200.0,146800.0,155500.0,157200.0,169450.0,181700.0
"Albany, GA",10500,98400.0,103800.0,107300.0,104300.0,104400.0,110200.0,109600.0,115900.0,111900.0,125600.0,134400.0,143200.0
"Albany-Lebanon, OR",10540,180600.0,169900.0,166700.0,173800.0,167400.0,176300.0,190700.0,216100.0,254300.0,257200.0,293050.0,328900.0
"Albany-Schenectady-Troy, NY",10580,199000.0,197300.0,197000.0,195600.0,196900.0,201000.0,210600.0,216400.0,217200.0,227000.0,235000.0,243000.0
"Albuquerque, NM",10740,183300.0,176800.0,175600.0,176900.0,173700.0,181800.0,183600.0,191700.0,201400.0,206000.0,226000.0,246000.0
"Alexandria, LA",10780,113900.0,110500.0,118100.0,119500.0,120700.0,134800.0,130200.0,139700.0,143300.0,138100.0,153000.0,167900.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,218700.0,208100.0,196400.0,197300.0,195900.0,203500.0,207400.0,213400.0,218900.0,224900.0,239750.0,254600.0
"Altoona, PA",11020,105400.0,105700.0,105300.0,115200.0,112500.0,114800.0,114700.0,129600.0,128500.0,133600.0,135500.0,137400.0
"Amarillo, TX",11100,114900.0,118100.0,118000.0,122900.0,121800.0,127800.0,135700.0,139900.0,148200.0,156300.0,161650.0,167000.0
"Ames, IA",11180,159000.0,160500.0,165800.0,158100.0,167000.0,177400.0,173800.0,200300.0,191300.0,185800.0,199850.0,213900.0
"Anchorage, AK",11260,261800.0,264300.0,266700.0,275100.0,272700.0,283000.0,299700.0,298100.0,299500.0,300100.0,314100.0,328100.0
"Ann Arbor, MI",11460,190600.0,196200.0,191000.0,207500.0,212400.0,234200.0,244700.0,258700.0,280500.0,295300.0,314150.0,333000.0
"Anniston-Oxford, AL",11500,102500.0,99100.0,105800.0,92900.0,106500.0,111400.0,115600.0,117700.0,121800.0,121600.0,130500.0,139400.0
"Appleton, WI",11540,161000.0,155900.0,156400.0,159000.0,158500.0,159600.0,163400.0,168300.0,181500.0,183900.0,206100.0,228300.0
"Arecibo, PR",11640,,,,102000.0,108200.0,97700.0,93400.0,101000.0,94800.0,93600.0,97650.0,101700.0
"Asheville, NC",11700,183800.0,177400.0,177100.0,183100.0,183200.0,195800.0,204800.0,220900.0,234700.0,248500.0,274950.0,301400.0
"Athens-Clarke County, GA",12020,160200.0,163600.0,159500.0,154500.0,153200.0,158600.0,172300.0,181600.0,200500.0,204300.0,232100.0,259900.0
"Atlanta-Sandy Springs-Alpharetta, GA",12060,175900.0,166100.0,160800.0,160800.0,170300.0,186300.0,197700.0,215100.0,233700.0,247200.0,273600.0,300000.0
"Atlantic City-Hammonton, NJ",12100,238400.0,233000.0,226800.0,218600.0,217000.0,223400.0,215100.0,211600.0,219300.0,214900.0,234550.0,254200.0
"Auburn-Opelika, AL",12220,151900.0,157400.0,155400.0,138100.0,156000.0,169000.0,163400.0,160700.0,182700.0,183000.0,193250.0,203500.0
"Augusta-Richmond County, GA-SC",12260,126200.0,126200.0,127900.0,123100.0,132100.0,135100.0,138300.0,144000.0,154000.0,161800.0,171900.0,182000.0
