msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,554.0,515.0,572.0,549.0,613.0,598.0,653.0,653.0,722.0,692.0,734.5,777.0
"Aguadilla-Isabela, PR",10380,292.0,299.0,316.0,323.0,310.0,298.0,316.0,327.0,336.0,308.0,322.5,337.0
"Akron, OH",10420,579.0,588.0,611.0,609.0,627.0,615.0,651.0,666.0,675.0,704.0,710.5,717.0
"Albany, GA",10500,477.0,474.0,469.0,462.0,480.0,508.0,482.0,488.0,523.0,506.0,557.0,608.0
"Albany-Lebanon, OR",10540,627.0,610.0,642.0,704.0,718.0,678.0,782.0,769.0,848.0,886.0,927.5,969.0
"Albany-Schenectady-Troy, NY",10580,710.0,726.0,739.0,764.0,784.0,801.0,815.0,845.0,871.0,911.0,930.5,950.0
"Albuquerque, NM",10740,643.0,669.0,678.0,706.0,708.0,708.0,735.0,755.0,775.0,824.0,833.5,843.0
"Alexandria, LA",10780,461.0,446.0,487.0,518.0,539.0,539.0,556.0,601.0,615.0,655.0,637.0,619.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,723.0,740.0,776.0,785.0,808.0,832.0,860.0,849.0,892.0,947.0,977.0,1007.0
"Altoona, PA",11020,464.0,485.0,494.0,469.0,511.0,533.0,538.0,564.0,582.0,586.0,581.0,576.0
"Amarillo, TX",11100,551.0,576.0,596.0,622.0,634.0,650.0,654.0,681.0,697.0,700.0,711.5,723.0
"Ames, IA",11180,607.0,582.0,636.0,655.0,686.0,753.0,775.0,781.0,790.0,824.0,787.5,751.0
"Anchorage, AK",11260,919.0,970.0,1049.0,1065.0,1135.0,1120.0,1157.0,1145.0,1108.0,1123.0,1147.0,1171.0
"Ann Arbor, MI",11460,735.0,756.0,803.0,819.0,873.0,872.0,917.0,949.0,992.0,1022.0,1060.0,1098.0
"Anniston-Oxford, AL",11500,411.0,416.0,452.0,428.0,428.0,496.0,468.0,477.0,534.0,529.0,516.0,503.0
"Appleton, WI",11540,556.0,571.0,594.0,611.0,601.0,637.0,617.0,638.0,662.0,702.0,720.5,739.0
"Arecibo, PR",11640,,,,322.0,335.0,331.0,291.0,310.0,340.0,365.0,363.5,362.0
"Asheville, NC",11700,602.0,597.0,661.0,656.0,674.0,645.0,718.0,786.0,746.0,841.0,871.0,901.0
"Athens-Clarke County, GA",12020,563.0,571.0,608.0,620.0,653.0,628.0,642.0,700.0,702.0,716.0,798.5,881.0
"Atlanta-Sandy Springs-Alpharetta, GA",12060,733.0,738.0,760.0,772.0,794.0,827.0,880.0,925.0,980.0,1039.0,1116.5,1194.0
"Atlantic City-Hammonton, NJ",12100,835.0,868.0,895.0,875.0,887.0,905.0,929.0,902.0,916.0,964.0,1000.0,1036.0
"Auburn-Opelika, AL",12220,534.0,559.0,631.0,617.0,591.0,621.0,636.0,666.0,645.0,655.0,707.0,759.0
"Augusta-Richmond County, GA-SC",12260,525.0,558.0,577.0,591.0,571.0,604.0,649.0,643.0,665.0,720.0,733.0,746.0
"Austin-Round Rock-Georgetown, TX",12420,758.0,772.0,832.0,856.0,895.0,958.0,1035.0,1091.0,1153.0,1180.0,1238.0,1296.0
"Bakersfield, CA",12540,709.0,713.0,723.0,744.0,739.0,766.0,774.0,801.0,809.0,803.0,845.0,887.0
"Baltimore-Columbia-Towson, MD",12580,867.0,889.0,915.0,967.0,983.0,1014.0,1055.0,1086.0,1114.0,1146.0,1177.0,1208.0
"Bangor, ME",12620,607.0,614.0,663.0,666.0,616.0,681.0,680.0,752.0,695.0,735.0,777.0,819.0
"Barnstable Town, MA",12700,979.0,996.0,909.0,951.0,955.0,1016.0,1165.0,1149.0,1112.0,1131.0,1235.5,1340.0
"Baton Rouge, LA",12940,605.0,629.0,657.0,641.0,687.0,700.0,707.0,747.0,764.0,772.0,801.5,831.0
"Battle Creek, MI",12980,516.0,527.0,538.0,546.0,565.0,568.0,588.0,567.0,593.0,631.0,638.0,645.0
"Bay City, MI",13020,454.0,494.0,532.0,520.0,519.0,515.0,512.0,533.0,575.0,583.0,578.0,573.0
"Beaumont-Port Arthur, TX",13140,556.0,596.0,556.0,582.0,602.0,644.0,663.0,664.0,671.0,725.0,765.0,805.0
"Beckley, WV",13220,395.0,427.0,446.0,446.0,491.0,438.0,493.0,475.0,514.0,529.0,527.0,525.0
"Bellingham, WA",13380,740.0,776.0,775.0,794.0,836.0,836.0,857.0,967.0,1015.0,1021.0,1118.0,1215.0
"Bend, OR",13460,733.0,768.0,738.0,759.0,794.0,865.0,1029.0,999.0,1001.0,1239.0,1296.0,1353.0
"Billings, MT",13740,572.0,572.0,649.0,648.0,668.0,757.0,730.0,722.0,784.0,768.0,797.5,827.0
"Binghamton, NY",13780,531.0,554.0,566.0,546.0,627.0,599.0,626.0,632.0,659.0,668.0,690.0,712.0
"Birmingham-Hoover, AL",13820,532.0,558.0,583.0,588.0,591.0,602.0,637.0,633.0,671.0,697.0,729.5,762.0
"Bismarck, ND",13900,529.0,592.0,664.0,672.0,695.0,729.0,758.0,773.0,745.0,808.0,799.0,790.0
"Blacksburg-Christiansburg, VA",13980,594.0,565.0,581.0,648.0,631.0,696.0,639.0,695.0,709.0,705.0,762.0,819.0
"Bloomington, IL",14010,,,,650.0,654.0,700.0,683.0,677.0,696.0,714.0,729.5,745.0
"Bloomington, IN",14020,551.0,630.0,638.0,674.0,709.0,704.0,711.0,709.0,741.0,801.0,828.5,856.0
"Bloomsburg-Berwick, PA",14100,558.0,511.0,493.0,605.0,585.0,605.0,585.0,623.0,596.0,630.0,666.0,702.0
"Boise City, ID",14260,640.0,653.0,656.0,668.0,689.0,736.0,753.0,812.0,845.0,936.0,1030.0,1124.0
"Boston-Cambridge-Newton, MA-NH",14460,1032.0,1046.0,1059.0,1101.0,1122.0,1173.0,1222.0,1272.0,1352.0,1448.0,1520.5,1593.0
"Boulder, CO",14500,908.0,962.0,1021.0,1062.0,1119.0,1198.0,1259.0,1414.0,1418.0,1512.0,1589.5,1667.0
"Bowling Green, KY",14540,494.0,496.0,502.0,513.0,521.0,549.0,534.0,593.0,585.0,625.0,635.5,646.0
"Bremerton-Silverdale-Port Orchard, WA",14740,820.0,864.0,884.0,876.0,884.0,931.0,1022.0,1091.0,1151.0,1308.0,1335.0,1362.0
"Bridgeport-Stamford-Norwalk, CT",14860,1065.0,1064.0,1100.0,1132.0,1168.0,1213.0,1244.0,1228.0,1238.0,1321.0,1380.5,1440.0
"Brownsville-Harlingen, TX",15180,471.0,493.0,469.0,496.0,502.0,514.0,548.0,532.0,549.0,617.0,634.0,651.0
"Brunswick, GA",15260,554.0,556.0,557.0,595.0,614.0,636.0,612.0,682.0,736.0,591.0,684.0,777.0
"Buffalo-Cheektowaga, NY",15380,524.0,542.0,573.0,580.0,586.0,602.0,636.0,651.0,686.0,717.0,744.0,771.0
"Burlington, NC",15500,502.0,519.0,534.0,574.0,579.0,571.0,559.0,612.0,655.0,643.0,694.0,745.0
"Burlington-South Burlington, VT",15540,804.0,878.0,852.0,889.0,990.0,969.0,1019.0,1084.0,1064.0,1104.0,1189.0,1274.0
"California-Lexington Park, MD",15680,,,,935.0,1041.0,1153.0,1205.0,1065.0,1162.0,1170.0,1225.0,1280.0
"Canton-Massillon, OH",15940,492.0,500.0,527.0,517.0,530.0,536.0,562.0,570.0,570.0,568.0,598.5,629.0
"Cape Coral-Fort Myers, FL",15980,732.0,751.0,749.0,788.0,786.0,847.0,910.0,969.0,1061.0,1075.0,1127.5,1180.0
"Cape Girardeau, MO-IL",16020,467.0,480.0,496.0,491.0,497.0,491.0,611.0,623.0,571.0,610.0,629.5,649.0
"Carbondale-Marion, IL",16060,,,,481.0,530.0,536.0,523.0,547.0,556.0,528.0,573.0,618.0
"Carson City, NV",16180,721.0,701.0,720.0,698.0,656.0,727.0,767.0,870.0,875.0,859.0,856.0,853.0
"Casper, WY",16220,622.0,671.0,715.0,675.0,735.0,708.0,693.0,773.0,754.0,685.0,763.0,841.0
"Cedar Rapids, IA",16300,522.0,510.0,540.0,545.0,534.0,577.0,573.0,607.0,596.0,628.0,656.0,684.0
"Chambersburg-Waynesboro, PA",16540,587.0,590.0,633.0,640.0,650.0,648.0,679.0,695.0,693.0,751.0,740.5,730.0
"Champaign-Urbana, IL",16580,596.0,644.0,636.0,653.0,659.0,707.0,686.0,683.0,691.0,766.0,780.0,794.0
"Charleston, WV",16620,460.0,507.0,489.0,478.0,517.0,526.0,523.0,500.0,559.0,537.0,580.5,624.0
"Charleston-North Charleston, SC",16700,716.0,741.0,782.0,780.0,815.0,843.0,868.0,899.0,997.0,1056.0,1092.0,1128.0
"Charlotte-Concord-Gastonia, NC-SC",16740,636.0,662.0,683.0,683.0,714.0,743.0,793.0,822.0,865.0,914.0,983.5,1053.0
