msa_name,msa_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Abilene, TX",10180,69711.0,69887.0,70553.0,69699.0,70507.0,70595.0,71307.0,71427.0,72105.0,72052.0,73403.0,74754.0
"Aguadilla-Isabela, PR",10380,143248.0,132684.0,133567.0,145621.0,146009.0,146720.0,145361.0,145196.0,147422.0,146411.0,145014.0,143617.0
"Akron, OH",10420,312600.0,313023.0,312864.0,312382.0,313241.0,313518.0,313633.0,315099.0,315526.0,316217.0,317000.0,317783.0
"Albany, GA",10500,67169.0,66150.0,65861.0,66184.0,66262.0,66857.0,66843.0,67522.0,66724.0,66066.0,66589.5,67113.0
"Albany-Lebanon, OR",10540,48840.0,49038.0,48926.0,48832.0,49304.0,49174.0,49394.0,50337.0,50891.0,51391.0,52121.0,52851.0
"Albany-Schenectady-Troy, NY",10580,393443.0,395203.0,394602.0,394983.0,397239.0,398555.0,401347.0,408327.0,410484.0,412316.0,416010.5,419705.0
"Albuquerque, NM",10740,374674.0,376276.0,377011.0,376330.0,380455.0,381558.0,382924.0,389156.0,391088.0,393075.0,395830.0,398585.0
"Alexandria, LA",10780,65195.0,64812.0,65338.0,65505.0,66123.0,66402.0,66652.0,67516.0,67823.0,68222.0,67775.5,67329.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,342432.0,343948.0,343354.0,342901.0,344181.0,345251.0,345674.0,349709.0,350538.0,351530.0,355659.5,359789.0
"Altoona, PA",11020,56277.0,56201.0,56154.0,55911.0,56067.0,56007.0,55972.0,56846.0,56957.0,57025.0,56412.0,55799.0
"Amarillo, TX",11100,103039.0,103716.0,103729.0,106385.0,107463.0,107954.0,108597.0,109729.0,110049.0,110895.0,112867.5,114840.0
"Ames, IA",11180,36801.0,37091.0,37250.0,37530.0,38114.0,38558.0,39130.0,39931.0,40766.0,53393.0,53505.5,53618.0
"Anchorage, AK",11260,154449.0,156710.0,154965.0,155006.0,155631.0,156279.0,157030.0,159187.0,160219.0,161406.0,166177.5,170949.0
"Ann Arbor, MI",11460,147565.0,147508.0,147734.0,148451.0,148496.0,150083.0,149932.0,150397.0,151576.0,152272.0,155116.0,157960.0
"Anniston-Oxford, AL",11500,53321.0,53357.0,53311.0,53060.0,53287.0,53323.0,53337.0,53786.0,53888.0,53809.0,53510.0,53211.0
"Appleton, WI",11540,92928.0,93392.0,93783.0,94305.0,95106.0,95890.0,96833.0,97752.0,98531.0,99335.0,100639.5,101944.0
"Arecibo, PR",11640,,,,82605.0,81427.0,83366.0,82290.0,85321.0,83983.0,83039.0,81901.0,80763.0
"Asheville, NC",11700,213900.0,215550.0,215173.0,215388.0,216863.0,218917.0,220699.0,228680.0,230920.0,234312.0,235163.5,236015.0
"Athens-Clarke County, GA",12020,80741.0,82059.0,81771.0,81293.0,83470.0,84691.0,85795.0,85778.0,85776.0,88056.0,89613.5,91171.0
"Atlanta-Sandy Springs-Alpharetta, GA",12060,2168806.0,2169873.0,2175303.0,2191764.0,2214354.0,2240042.0,2266547.0,2299498.0,2331002.0,2364761.0,2407999.5,2451238.0
"Atlantic City-Hammonton, NJ",12100,126723.0,126784.0,127361.0,127288.0,127386.0,127879.0,128013.0,128185.0,128408.0,128951.0,130582.5,132214.0
"Auburn-Opelika, AL",12220,62660.0,63483.0,64408.0,64625.0,65570.0,66385.0,67173.0,68921.0,70372.0,71228.0,74442.0,77656.0
"Augusta-Richmond County, GA-SC",12260,238681.0,239440.0,239519.0,245369.0,248805.0,250529.0,253907.0,259389.0,259295.0,262287.0,264657.5,267028.0
"Austin-Round Rock-Georgetown, TX",12420,708643.0,723297.0,725658.0,743024.0,764778.0,784417.0,805785.0,828696.0,853697.0,882659.0,939688.5,996718.0
"Bakersfield, CA",12540,284674.0,286972.0,285867.0,288383.0,291469.0,293589.0,295240.0,297873.0,300423.0,302927.0,303396.0,303865.0
"Baltimore-Columbia-Towson, MD",12580,1133012.0,1138113.0,1139559.0,1142386.0,1150424.0,1155452.0,1161526.0,1160769.0,1164143.0,1169780.0,1182994.0,1196208.0
"Bangor, ME",12620,73909.0,74375.0,74104.0,73901.0,74275.0,74332.0,74696.0,75864.0,76144.0,76369.0,75822.5,75276.0
"Barnstable Town, MA",12700,160313.0,161015.0,160544.0,160975.0,161721.0,162116.0,162486.0,163520.0,164329.0,164686.0,165114.0,165542.0
