,city_name,city_geo_id
0,"Abanda, Alabama",0100100
1,"Abbeville, Alabama",0100124
2,"Adamsville, Alabama",0100460
3,"Addison, Alabama",0100484
4,"Akron, Alabama",0100676
5,"Alabaster, Alabama",0100820
6,"Albertville, Alabama",0100988
7,"Alexander City, Alabama",0101132
8,"Alexandria, Alabama",0101180
9,"Aliceville, Alabama",0101228
10,"Allgood, Alabama",0101396
11,"Altoona, Alabama",0101660
12,"Andalusia, Alabama",0101708
13,"Anderson, Alabama",0101756
14,"Anniston, Alabama",0101852
15,"Arab, Alabama",0102116
16,"Ardmore, Alabama",0102260
17,"Argo, Alabama",0102320
18,"Ariton, Alabama",0102428
19,"Arley, Alabama",0102500
20,"Ashford, Alabama",0102836
21,"Ashland, Alabama",0102860
22,"Ashville, Alabama",0102908
23,"Athens, Alabama",0102956
24,"Atmore, Alabama",0103004
25,"Attalla, Alabama",0103028
26,"Auburn, Alabama",0103076
27,"Autaugaville, Alabama",0103220
28,"Avon, Alabama",0103364
29,"Axis, Alabama",0103508
30,"Babbie, Alabama",0103556
31,"Baileyton, Alabama",0103676
32,"Bakerhill, Alabama",0103724
33,"Ballplay, Alabama",0103820
34,"Banks, Alabama",0103940
35,"Bay Minette, Alabama",0104660
36,"Bayou La Batre, Alabama",0104684
37,"Bear Creek, Alabama",0104852
38,"Beatrice, Alabama",0104900
39,"Beaverton, Alabama",0104948
40,"Belgreen, Alabama",0105140
41,"Belk, Alabama",0105164
42,"Bellamy, Alabama",0105188
43,"Belle Fontaine, Alabama",0105212
44,"Benton, Alabama",0105692
45,"Berlin, Alabama",0105812
46,"Berry, Alabama",0105932
47,"Bessemer, Alabama",0105980
48,"Billingsley, Alabama",0106460
49,"Birmingham, Alabama",0107000
50,"Black, Alabama",0107120
51,"Blountsville, Alabama",0107456
52,"Blue Ridge, Alabama",0107588
53,"Blue Springs, Alabama",0107672
54,"Boaz, Alabama",0107912
55,"Boligee, Alabama",0108104
56,"Bon Air, Alabama",0108248
57,"Bon Secour, Alabama",0108272
58,"Boykin, Alabama",0108680
59,"Brantley, Alabama",0109016
60,"Brantleyville, Alabama",0109064
61,"Brent, Alabama",0109136
62,"Brewton, Alabama",0109208
63,"Bridgeport, Alabama",0109328
64,"Brighton, Alabama",0109400
65,"Brilliant, Alabama",0109424
66,"Bristow Cove, Alabama",0109457
67,"Brook Highland, Alabama",0109500
68,"Brookside, Alabama",0109736
69,"Brookwood, Alabama",0109808
70,"Broomtown, Alabama",0109880
71,"Brundidge, Alabama",0110240
72,"Bucks, Alabama",0110456
73,"Butler, Alabama",0111032
74,"Calera, Alabama",0111416
75,"Calvert, Alabama",0111488
76,"Camden, Alabama",0111512
77,"Camp Hill, Alabama",0111680
78,"Carbon Hill, Alabama",0112016
79,"Cardiff, Alabama",0112040
80,"Carlisle-Rockledge, Alabama",0112070
81,"Carlton, Alabama",0112112
82,"Carolina, Alabama",0112160
83,"Carrollton, Alabama",0112304
84,"Castleberry, Alabama",0112496
85,"Catherine, Alabama",0112544
86,"Cedar Bluff, Alabama",0112760
87,"Center Point, Alabama",0113264
88,"Centre, Alabama",0113648
89,"Centreville, Alabama",0113672
90,"Chatom, Alabama",0114008
91,"Chelsea, Alabama",0114104
92,"Cherokee, Alabama",0114152
93,"Chickasaw, Alabama",0114392
94,"Childersburg, Alabama",0114464
95,"Choccolocco, Alabama",0114728
96,"Chunchula, Alabama",0114968
97,"Citronelle, Alabama",0115064
98,"Clanton, Alabama",0115136
99,"Clay, Alabama",0115256
100,"Clayhatchee, Alabama",0115304
101,"Clayton, Alabama",0115376
102,"Cleveland, Alabama",0115472
103,"Clio, Alabama",0115640
104,"Coaling, Alabama",0116000
105,"Coats Bend, Alabama",0116080
106,"Coffee Springs, Alabama",0116240
107,"Coffeeville, Alabama",0116264
108,"Coker, Alabama",0116312
109,"Collinsville, Alabama",0116600
110,"Colony, Alabama",0116684
111,"Columbia, Alabama",0116744
112,"Columbiana, Alabama",0116768
113,"Concord, Alabama",0116936
114,"Coosada, Alabama",0117176
115,"Cordova, Alabama",0117368
116,"Cottondale, Alabama",0117704
117,"Cottonwood, Alabama",0117824
118,"County Line, Alabama",0117968
119,"Courtland, Alabama",0118040
120,"Cowarts, Alabama",0118088
121,"Creola, Alabama",0118304
122,"Crossville, Alabama",0118856
123,"Cuba, Alabama",0118952
124,"Cullman, Alabama",0118976
125,"Cullomburg, Alabama",0119024
126,"Cusseta, Alabama",0119216
127,"Dadeville, Alabama",0119336
128,"Daleville, Alabama",0119360
129,"Daphne, Alabama",0119648
130,"Dauphin Island, Alabama",0119744
131,"Daviston, Alabama",0119816
132,"Dayton, Alabama",0119912
133,"Deatsville, Alabama",0120008
134,"Decatur, Alabama",0120104
135,"Deer Park, Alabama",0120152
136,"Delta, Alabama",0120272
137,"Demopolis, Alabama",0120296
138,"Detroit, Alabama",0120392
139,"Dodge City, Alabama",0120955
140,"Dora, Alabama",0121136
141,"Dothan, Alabama",0121184
142,"Double Springs, Alabama",0121280
143,"Douglas, Alabama",0121328
144,"Dozier, Alabama",0121448
145,"Dunnavant, Alabama",0121890
146,"Dutton, Alabama",0121952
147,"Eagle Point, Alabama",0122088
148,"East Brewton, Alabama",0122216
149,"East Point, Alabama",0122504
150,"Eclectic, Alabama",0122816
151,"Edgewater, Alabama",0123032
152,"Edwardsville, Alabama",0123176
153,"Egypt, Alabama",0123224
