msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.1691390799447775,0.2985530869403589,0.7981908254195034,0.7981908254195034,0.42399345825215307,0.13443681956445624,0.9622624910728297,0.9622624910728297,1.760453316492333,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,105.78694482081889,2672.393829195137,-1.1679435388303405e-06,0.0071111475856526826,0.14877157880238714,0.13052728879286074,0.8441499565432434,0.8441499565432434,0.39877161586655135,0.21019492084651303,0.799878634211539,0.799878634211539,1.6440285907547825,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,81.68128003266864,2264.3768835286614,-1.0522865310096005e-06,0.007505253979765725,0.3192016155679832,0.2984638407582435,0.6869585188636051,0.6869585188636051,0.3074250127856084,0.22649227085949603,0.8454473515543951,0.8454473515543951,1.5324058704180001,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.10449715975853271,0.33003997376641375,0.6373461983953973,0.6373461983953973,0.38712036941268496,0.22776514334055745,0.8881833414063524,0.8881833414063524,1.5255295398017497,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,98.64317799291183,2670.750146962857,-2.2874612510639466e-06,0.007088225570553473,0.1047136351128566,0.19634922469341443,0.7101768824616915,0.7101768824616915,0.37170084894655275,0.052442508383242825,0.7972282665885135,0.7972282665885135,1.507405149050205,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.6267664044398885,0.34639399181497765,0.6845643740437003,0.6845643740437003,0.3435652121939358,0.3555642776344183,0.8154781812770222,0.8154781812770222,1.5000425553207224,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,79.02012451294557,2090.080637149988,-6.369849318427234e-07,0.006857246234757061,0.24847310592116106,0.5385319573735021,0.7156216930925835,0.7156216930925835,0.29734076416051763,0.2850128538324237,0.7705211838764064,0.7705211838764064,1.48614287696899,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Charlotte, NC",72.83060444302997,2461.818181818182,-2.0014954351989867e-07,0.002097838119886929,70.85892008273842,1945.9526141950873,4.86524329127228e-07,0.007474214331595971,0.3132385544893173,0.29236723916850177,0.625839593523594,0.625839593523594,0.2664144939953806,0.44332771960549183,0.8418583791982056,0.8418583791982056,1.4676979727217996,4375.0,0.0084,1363200.0,1771.2063150325885,384642.9025484119,0.004604806960683906
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,88.20306933741993,2154.1706020880574,-1.0170463533227495e-06,0.007940602413219748,0.08032688596242016,0.38960796590229996,0.537424915139153,0.537424915139153,0.3321388426772241,0.23145800117799503,0.8957846970175881,0.8957846970175881,1.433209612156741,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Salt Lake City, UT",45.77566626435933,1469.090909090909,-1.4581137507988475e-07,0.002024234051573029,109.25717568980215,2787.2893455674002,-1.0002805066595098e-06,0.007262164346911116,0.21230617137073332,0.3063769570757341,0.6129403972677991,0.6129403972677991,0.41192179465540085,0.2338204941776265,0.8173400106586445,0.8173400106586445,1.4302804079264435,2876.0,0.0063,826800.0,1693.4366801437557,561815.4032773963,0.0030142225903116104
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,74.79293503260715,2038.78100757493,6.262862843258772e-07,0.006400698193586872,0.22068819927750508,0.4063993894673371,0.7004836939227965,0.7004836939227965,0.2813221476651025,0.46302172298055394,0.7177326248672583,0.7177326248672583,1.418216318790055,4375.0,0.0084,740500.0,1753.1061993046617,447139.8522762134,0.003920711138540406
