msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.14877157880238714,0.2122451605072572,0.8441499565432434,0.8441499565432434,0.8441499565432434,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.1691390799447775,0.36447896145835895,0.7981908254195034,0.7981908254195034,0.7981908254195034,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.24847310592116106,0.5819032855607785,0.7156216930925835,0.7156216930925835,0.7156216930925835,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.1047136351128566,0.2718807855039909,0.7101768824616915,0.7101768824616915,0.7101768824616915,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Raleigh, NC",48.022469914711735,1580.909090909091,2.42136177830447e-07,0.0025237646160858125,0.22068819927750508,0.46218926983488706,0.7004836939227965,0.7004836939227965,0.7004836939227965,4375.0,0.0084,740500.0,1753.1061993046617,447139.8522762134,0.003920711138540406
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.11183441943303937,0.37177956497999826,0.6964660307794115,0.6964660307794115,0.6964660307794115,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Charleston, SC",23.13891377158888,874.5454545454545,4.483590361028456e-07,0.0024781682365794546,0.12785647275851744,0.5103614520840601,0.6924928768215202,0.6924928768215202,0.6924928768215202,4319.0,0.0057,424600.0,2072.119631688651,433992.4603687584,0.0047745521429750064
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.3192016155679832,0.3643981031278312,0.6869585188636051,0.6869585188636051,0.6869585188636051,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.6267664044398885,0.40782351253503385,0.6845643740437003,0.6845643740437003,0.6845643740437003,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.4333895675825237,0.30788596448233646,0.6716551966305692,0.6716551966305692,0.6716551966305692,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
