msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Rent,average_value_Median Rent,pct_coef_Median Rent,average_pct_Median Rent,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Rent,normalized_pct_coef_Median Rent,normalized_average_pct_Median Rent,Median Rent_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.30699271896285985,7.911836905060723,-4.281341792883231e-07,0.006200794321415206,112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.1691390799447775,0.29724706114795557,0.7966346795839567,1.7624084391126908,0.5587708581041035,0.24632769422344908,0.64182406727553,0.9212094963275818,0.40804593521629684,0.13443681956445624,0.9758215454500868,1.3838674806663835,4.067485416106656,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Phoenix, AZ",156.87178464322685,5077.272727272727,9.398914558308057e-09,0.0024329274286629585,0.3199167577127039,8.235212888791837,-1.349268820022347e-07,0.0060846655267641344,91.21840022029164,2320.7105227498855,-1.3630435690684104e-07,0.0072460620972356615,0.6267664044398885,0.38188030517013877,0.6500991738474522,1.926964752134793,0.5857058182110966,0.30920894916668157,0.6263369556547226,0.9191898647602709,0.32539092398479724,0.3555642776344183,0.8062047565872096,1.1315956805720069,3.977750297467071,4086.0,0.0066,2444200.0,1864.017828788762,468841.499982879,0.003975795292986716
"Riverside, CA",105.03709883960208,3374.5454545454545,-4.1842905266059943e-07,0.002359266406894607,0.38668016913948494,10.486009214749426,4.893300903287305e-07,0.005617677999983975,99.74562912257596,2732.2541471622444,3.96414848274925e-07,0.006571605763544046,0.4333895675825237,0.18674530708558956,0.633451176678034,1.7002919209385916,0.7248472938901923,0.4430871377062147,0.5640587930810064,0.9264824400261025,0.35859885371265615,0.4306302983544224,0.7160899068985775,1.0746887606112336,3.7014631215759275,2598.0,0.0076,1697100.0,2510.6857778919807,588582.8347445781,0.004265645597669392
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.2365402931031454,6.561524678151601,6.61498163232503e-07,0.004795334411959065,105.78694482081889,2672.393829195137,-1.1679435388303405e-06,0.0071111475856526826,0.14877157880238714,0.0,0.8559047213821793,1.8605810215667458,0.4119411157377556,0.48001031317133236,0.4543898089443528,0.6603603668132306,0.3821257918856562,0.21019492084651303,0.7881786808803213,1.1703044727659775,3.691245861145954,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Atlanta, GA",138.3279284013837,4861.818181818182,-1.1794010584231878e-07,0.001835613954820056,0.29316713527019234,7.826275374994767,-3.171076305422202e-08,0.005435413630877769,71.32254219288622,1957.0276504478122,4.2952748482020555e-07,0.007425353597262498,0.5575858507702728,0.32380018557559503,0.515101412710442,1.5877886761911566,0.5299569902083276,0.33134468436118536,0.5397517412656038,0.8047302363697676,0.24790968561056456,0.4352962346240823,0.8301600903401508,1.0780697759507154,3.4705886885116395,4006.0,0.0092,3078000.0,1919.1852151724595,388469.2969962892,0.004940378120000542
"Reno, NV",16.935473186551498,579.0909090909091,-5.725655392145414e-07,0.0025790748925750033,0.2909809709922595,8.013393785763325,-1.5767289001661797e-06,0.005807936168731184,98.64317799291183,2670.750146962857,-2.2874612510639466e-06,0.007088225570553473,0.1047136351128566,0.11644269642649525,0.6831297035240138,1.4709730421608842,0.5254008101509006,0.0,0.5894319101017406,0.8521323151771909,0.3543055340349731,0.052442508383242825,0.7851160453292252,1.1394215793641984,3.4625269367022735,2707.0,0.006,270100.0,1873.8607412794845,547226.3424306336,0.0034242882624332272
"Las Vegas, NV",55.47021768720873,2224.5454545454545,7.546262778338372e-07,0.0026101435115560017,0.2699689577330991,6.9821211711228734,7.910782058552746e-08,0.00519370005794514,79.02012451294557,2090.080637149988,-6.369849318427234e-07,0.006857246234757061,0.24847310592116106,0.7217831428705941,0.6901514671167043,1.6287760401545697,0.4816097205497552,0.35511084459934544,0.5075164537512571,0.7483213140261347,0.27788668935799105,0.2850128538324237,0.7542546432091721,1.0321413325671631,3.4092386867478677,2707.0,0.006,1149800.0,1772.931503609456,437748.89684152027,0.004050110728780012
"Stockton, CA",18.84420033252454,593.6363636363636,-1.449035384584945e-07,0.0025008394394621064,0.3527182417674229,10.163000732485585,-7.868722236530663e-07,0.0058666153741324225,93.23283788760536,2485.9920011751674,-1.6143655715570465e-06,0.006387333236762527,0.11183441943303937,0.31150199617457774,0.6654478472219435,1.4427301138769264,0.6540673173960699,0.16939271124611247,0.5972574576466008,0.9242911163446357,0.33323582943577973,0.1472891250115476,0.6914690527036585,1.0247048821394382,3.3917261123610003,2598.0,0.0076,279600.0,2358.7799876329696,546086.1454894388,0.004319428366963739
"Ogden, UT",16.877446940192517,564.5454545454545,-5.403186922179476e-08,0.0021634959263308598,0.2705116449667492,7.186395564195222,2.3795880766926157e-07,0.005732940278431724,102.71227064675952,2616.149986265077,-1.0432533678033338e-06,0.007874861198083598,0.10449715975853271,0.35294912997864275,0.5892054368275825,1.2829080334136977,0.48274073379351506,0.3891780370234487,0.5794303447909198,0.8208007116876773,0.37015196485717405,0.22776514334055745,0.8902192933728742,1.2603712582300481,3.364080003331423,2876.0,0.0063,298500.0,1696.335344394168,500609.20154029474,0.003388542078680964
"Nashville, TN",74.4290037263343,2401.818181818182,-1.7650323127516545e-07,0.0024465886518417654,0.23012490054899318,6.5034272941988815,3.1085597449001065e-07,0.004301160661452455,81.68128003266864,2264.3768835286614,-1.0522865310096005e-06,0.007505253979765725,0.3192016155679832,0.2970891796461568,0.6531867227213572,1.6255750610106978,0.39857081053661436,0.40481156788684436,0.38848605047372886,0.587771455742036,0.288250134095612,0.22649227085949603,0.8408356679864194,1.1290858020820314,3.3424323188347653,4873.0,0.0071,1163000.0,1904.4590921551917,446525.7677337154,0.0042650597787917835
