msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"St. George, UT",8.989171554922365,271.8181818181818,-4.7187035743649887e-07,0.003981104792564301,109.27801505865013,2709.6276711356722,-4.026041151273793e-07,0.007493362359081786,0.07506880076273688,0.22231092218576176,0.9558842088465184,0.9558842088465184,0.41200076387576223,0.3180397000072717,0.8440723779183686,0.8440723779183686,1.799956586764887,2876.0,0.0063,86000.0,1807.457396546106,535604.7862689517,0.0033746102403918754
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.1691390799447775,0.2985530869403589,0.7981908254195034,0.7981908254195034,0.42399345825215307,0.13443681956445624,0.9622624910728297,0.9622624910728297,1.760453316492333,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Idaho Falls, ID",6.80290833806242,206.36363636363637,-8.252034049298344e-09,0.0029601754910353025,89.24007471547318,2109.538859324285,-1.033013789825102e-06,0.008308963420567474,0.06691262775118138,0.3418431426073785,0.7769651935612283,0.7769651935612283,0.3360684965363618,0.22920801298971114,0.938376593202717,0.938376593202717,1.7153417867639453,3427.0,0.0069,82800.0,1208.5668276972624,390904.31037897646,0.0030917203919434227
"Coeur d'Alene, ID",5.065759298842416,164.54545454545453,-1.2234952951515665e-08,0.002558213914627826,129.0029714241677,3103.3810761757004,-7.044982068511868e-07,0.008800820528169136,0.06043194052126702,0.3408162480345692,0.7065209724720309,0.7065209724720309,0.48674700197974424,0.2754994875948925,0.9952477778477091,0.9952477778477091,1.70176875031974,3427.0,0.0069,76500.0,1783.1318516042782,555241.2199602091,0.0032114543868556173
"Port St. Lucie, FL",10.816479772981753,353.6363636363636,-3.830580268394157e-08,0.0024218921043008368,79.8100367444301,2300.7834454351264,-5.090615511821776e-07,0.008696504835704253,0.08188583992663748,0.334094540975997,0.6826304209626519,0.6826304209626519,0.3003340771312377,0.30303867127964906,0.9831862320941707,0.9831862320941707,1.6658166530568226,5854.0,0.0089,173700.0,2400.2609250221826,414400.3714495613,0.005792130245023996
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,105.78694482081889,2672.393829195137,-1.1679435388303405e-06,0.0071111475856526826,0.14877157880238714,0.13052728879286074,0.8441499565432434,0.8441499565432434,0.39877161586655135,0.21019492084651303,0.799878634211539,0.799878634211539,1.6440285907547825,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,62.40191843975354,1673.8911447365642,1.584407179710001e-07,0.007964308213781718,0.12384796989653622,0.3446505705443345,0.7444596156304293,0.7444596156304293,0.23436732254726636,0.3970971146012213,0.8985256901639329,0.8985256901639329,1.6429853057943622,5854.0,0.0089,276200.0,1910.046259612916,317937.38471395965,0.006007617699099264
"Palm Bay, FL",16.171683255268533,501.8181818181818,-2.53007145962979e-07,0.0022950969917100218,69.40780870384422,1956.5615336089186,-7.259729217461347e-07,0.008186126151005755,0.10186420564984103,0.27873924763438007,0.6604094340110968,0.6604094340110968,0.26091561660207807,0.2724734630446601,0.9241734823183486,0.9241734823183486,1.5845829163294454,5854.0,0.0089,255800.0,2020.6079150506584,365323.0303034143,0.005531017065561042
"Bend, OR",5.613290737251051,210.9090909090909,-7.78101132682706e-07,0.002746667265992039,130.83570045999733,3436.0191071696063,-1.026708612668989e-06,0.0074984346098859725,0.062474586213006125,0.14335708736064148,0.7395476355355752,0.7395476355355752,0.49369199077230164,0.2300964821014688,0.8446588590479333,0.8446588590479333,1.5842064945835084,3016.0,0.0097,95000.0,2262.361242532856,679425.1082024724,0.003329816951449283
"Gainesville, GA",7.007106447966254,255.45454545454547,3.6029029075385207e-07,0.002762461052786048,67.54699935453529,1913.814056818196,8.738848069719984e-07,0.0073901232763573365,0.06767441850911232,0.43686242933706576,0.7423155145420626,0.7423155145420626,0.2538642195742646,0.4979110899311117,0.8321353156182407,0.8321353156182407,1.5744508301603033,4006.0,0.0092,109900.0,1779.342958300551,381031.3506168748,0.004669807236123391
