msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"The Villages, FL",4.7113335352570545,134.54545454545453,3.727243430103428e-07,0.004232833787254481,0.059109703644544195,0.4926937296475897,1.0,1.0,1.0,5854.0,0.0089,40600.0,2039.3875,404350.9817175841,0.005043607143816446
"St. George, UT",8.989171554922365,271.8181818181818,-4.7187035743649887e-07,0.003981104792564301,0.07506880076273688,0.2954024585564427,0.9558842088465184,0.9558842088465184,0.9558842088465184,2876.0,0.0063,86000.0,1807.457396546106,535604.7862689517,0.0033746102403918754
"Austin, TX",119.4646887639067,3710.0,3.4990934159057337e-07,0.0033554170646944094,0.48721379087591754,0.4873643087695387,0.8462317265650195,0.8462317265650195,0.8462317265650195,5602.0,0.018,1352600.0,1752.9620922590632,471345.8765969128,0.0037190568100761543
"Provo, UT",28.74521061640248,869.0909090909091,-8.278628595243027e-07,0.0033435382824929367,0.14877157880238714,0.2122451605072572,0.8441499565432434,0.8441499565432434,0.8441499565432434,2876.0,0.0063,314400.0,1768.9060218748973,546281.6690852866,0.0032380841642312775
"Boise City, ID",34.20472189747433,1026.3636363636363,-1.7615708054547025e-07,0.003081291010663148,0.1691390799447775,0.36447896145835895,0.7981908254195034,0.7981908254195034,0.7981908254195034,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Idaho Falls, ID",6.80290833806242,206.36363636363637,-8.252034049298344e-09,0.0029601754910353025,0.06691262775118138,0.4037003773970596,0.7769651935612283,0.7769651935612283,0.7769651935612283,3427.0,0.0069,82800.0,1208.5668276972624,390904.31037897646,0.0030917203919434227
"Lakeland, FL",22.064434067760725,650.0,2.636871289956376e-09,0.0027746955021153348,0.12384796989653622,0.40624394767288086,0.7444596156304293,0.7444596156304293,0.7444596156304293,5854.0,0.0089,276200.0,1910.046259612916,317937.38471395965,0.006007617699099264
"Gainesville, GA",7.007106447966254,255.45454545454547,3.6029029075385207e-07,0.002762461052786048,0.06767441850911232,0.48978922412180437,0.7423155145420626,0.7423155145420626,0.7423155145420626,4006.0,0.0092,109900.0,1779.342958300551,381031.3506168748,0.004669807236123391
"Bend, OR",5.613290737251051,210.9090909090909,-7.78101132682706e-07,0.002746667265992039,0.062474586213006125,0.22386914338931288,0.7395476355355752,0.7395476355355752,0.7395476355355752,3016.0,0.0097,95000.0,2262.361242532856,679425.1082024724,0.003329816951449283
"Naples, FL",10.648922419129159,374.54545454545456,4.489355467176891e-08,0.002727317914432138,0.08126074284004649,0.41611480617114427,0.7361566397807061,0.7361566397807061,0.7361566397807061,5854.0,0.0089,173900.0,2869.016148251941,742302.5332187378,0.003865022709556771
"Myrtle Beach, SC",10.600500799392066,409.09090909090907,6.789472671535133e-07,0.0027020579598883952,0.08108009894271985,0.5642252108532978,0.7317298041650085,0.7317298041650085,0.7317298041650085,4319.0,0.0057,198700.0,1833.6277243126403,362878.7829382817,0.005053003400930451
"Fayetteville, AR",21.203890578171873,712.7272727272727,-1.3020001946223173e-07,0.0026950190704017013,0.12063758720751348,0.3752142016770445,0.7304962308178874,0.7304962308178874,0.7304962308178874,6099.0,0.0062,311600.0,1529.0849886735466,336969.44097802025,0.004537755661865152
