msa_name,trend_coef_Median Price,average_value_Median Price,pct_coef_Median Price,average_pct_Median Price,normalized_trend_coef_Median Price,normalized_pct_coef_Median Price,normalized_average_pct_Median Price,Median Price_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Clewiston, FL",58.068323333007015,1759.7791808803213,9.898936640890372e-08,0.0108861243530505,0.2208695001634449,0.42105078533748164,1.0,1.0,1.0,5854.0,0.0089,,,279556.4537087614,
"Arcadia, FL",55.966961546969536,1530.6420960186326,-9.76121883986941e-07,0.00946780840285605,0.21424128135713807,0.3112754520165699,0.8943349152765366,0.8943349152765366,0.8943349152765366,5854.0,0.0089,,,262493.0423145942,
"Mountain Home, ID",80.75506535478291,1961.7052218517445,2.032236972517458e-07,0.009433085497588863,0.2924291388328632,0.4316937382482081,0.8917480454564524,0.8917480454564524,0.8917480454564524,3427.0,0.0069,,1323.0555555555557,337195.89697719336,0.003923700043257175
"Okeechobee, FL",53.86568056340842,1564.3755140104263,3.181338041036404e-07,0.009352095633015128,0.20761331742198058,0.44342675218231387,0.8857142693427787,0.8857142693427787,0.8857142693427787,5854.0,0.0089,,,269877.4855851073,
"Lewisburg, TN",67.879220502724,1776.118725155099,-2.0290795524660017e-06,0.008938437556357128,0.2518155150568081,0.20376213282514627,0.8548965832618883,0.8548965832618883,0.8548965832618883,4873.0,0.0071,,,314574.3698573402,
"Jackson, WY",305.0781319312051,9048.629961358762,1.2735351992831517e-06,0.008884511290910273,1.0,0.540978988355528,0.8508790557099485,0.8508790557099485,0.8508790557099485,3703.0,0.0061,,,1611017.3612519,
"Wauchula, FL",40.334924676632944,1200.4279816903327,6.134624257547485e-07,0.008882121792288412,0.16493394101560294,0.47358158301402475,0.8507010371420187,0.8507010371420187,0.8507010371420187,5854.0,0.0089,,,213400.1503196014,
"Cedartown, GA",41.74391426447711,1154.4403456893288,1.3039935775133467e-06,0.0088634390481581,0.1693782453453442,0.5440889722026908,0.8493091655064177,0.8493091655064177,0.8493091655064177,4006.0,0.0092,,1549.5,205583.9117253949,0.007537068377557275
"Sebring, FL",47.72388716541861,1379.5524392812886,3.2399691208244925e-07,0.008841920678572143,0.18824057029414215,0.4440254108164164,0.8477060386818909,0.8477060386818909,0.8477060386818909,5854.0,0.0089,28400.0,1524.739138176638,245832.31063113,0.006202354500358989
"Ontario, OR",79.6907346208901,1903.5600682680933,1.522314854577883e-07,0.008817679215265193,0.28907197442957333,0.42648712633303076,0.845900040326025,0.845900040326025,0.845900040326025,3016.0,0.0097,,,340361.8291885779,
"Coeur d'Alene, ID",129.0029714241677,3103.3810761757004,-7.044982068511868e-07,0.008800820528169136,0.4446150596480788,0.33900986525468885,0.8446440616422296,0.8446440616422296,0.8446440616422296,3427.0,0.0069,76500.0,1783.1318516042782,555241.2199602091,0.0032114543868556173
"Port St. Lucie, FL",79.8100367444301,2300.7834454351264,-5.090615511821776e-07,0.008696504835704253,0.2894482830614969,0.35896512477903164,0.8368725023639338,0.8368725023639338,0.8368725023639338,5854.0,0.0089,173700.0,2400.2609250221826,414400.3714495613,0.005792130245023996
"Shelbyville, TN",62.55290912864054,1739.5018515150457,-4.889433709955033e-07,0.008691504311992051,0.23501500147912563,0.3610193121340511,0.8364999614208252,0.8364999614208252,0.8364999614208252,4873.0,0.0071,,,313185.9383351964,
"Heber, UT",243.44278822187886,6431.610965520237,-6.880662352351525e-07,0.008680286593648587,0.8055867642488609,0.34068766851514753,0.8356642370823916,0.8356642370823916,0.8356642370823916,2876.0,0.0063,,3359.2692307692305,1161062.3200000932,0.0028932721120163134
"Sandpoint, ID",141.6563762691551,3454.299728676833,-2.2231717719309056e-07,0.00864446928456219,0.48452705220196973,0.38824345222743156,0.8329958337561356,0.8329958337561356,0.8329958337561356,3427.0,0.0069,,2237.083333333333,623991.9521655659,0.0035851156822929026
"Centralia, WA",93.08428929558102,2351.024703071469,-8.602737987318576e-07,0.008607043078102752,0.3313185840176765,0.3231042391944399,0.8302075669557291,0.8302075669557291,0.8302075669557291,2801.0,0.0098,,1299.611111111111,425867.1440353295,0.003051682031153116
"Cadillac, MI",42.95071732242312,1099.8510942837884,-1.2182631204270398e-06,0.008602752919015653,0.17318480296780378,0.2865513735259368,0.8298879484508724,0.8298879484508724,0.8298879484508724,3564.0,0.0154,,,198826.51073038543,
"Palatka, FL",43.95513154472966,1129.4018020767799,-2.550201187515404e-07,0.008551416633400618,0.17635297576025194,0.384904284946993,0.8260633753942436,0.8260633753942436,0.8260633753942436,5854.0,0.0089,,1251.7777777777776,205471.92496123328,0.00609220835408026
"Homosassa Springs, FL",58.25641862943997,1567.585875670068,-4.767434620562917e-09,0.008544122880903327,0.22146279960834708,0.41045659109653443,0.8255199880231345,0.8255199880231345,0.8255199880231345,5854.0,0.0089,35400.0,1643.8370726495723,285277.39845892176,0.005762240827803521
"Sevierville, TN",94.59874895950644,2299.4321624848926,1.818167703097796e-07,0.008526296387899654,0.33609556725422446,0.42950796208823816,0.8241919074263556,0.8241919074263556,0.8241919074263556,4873.0,0.0071,,1849.1984126984128,419478.27866261936,0.004408329362354654
"Toccoa, GA",43.272405080171154,1155.346852071313,1.9361874101849285e-06,0.008523169835868823,0.17419948633162613,0.6086397697870297,0.8239589780954933,0.8239589780954933,0.8239589780954933,4006.0,0.0092,,,210606.2224053601,
"Boise City, ID",112.44279470883421,2605.544948027379,-1.7055742153196594e-06,0.008515543408520948,0.3923801349103832,0.23679397599789528,0.8233908063198463,0.8233908063198463,0.8233908063198463,3427.0,0.0069,401000.0,1767.2558330855388,476277.31686314335,0.003710560571570016
"Thomaston, GA",34.41437195831797,921.9184215329468,2.5735777387674815e-06,0.008479710980030357,0.14625904213240504,0.673721160898799,0.8207212765921529,0.8207212765921529,0.8207212765921529,4006.0,0.0092,,,168651.00351705623,
"Prineville, OR",93.86638606443024,2426.7661601953314,-2.3184047570804778e-06,0.008365900795873177,0.33378551215260444,0.17422028702732661,0.8122423740248422,0.8122423740248422,0.8122423740248422,3016.0,0.0097,,,447375.9192493255,
"Steamboat Springs, CO",250.72987178963433,6831.071915844709,1.1622130068453002e-06,0.008365871021354443,0.8285720420186663,0.5296123220906365,0.8122401558117254,0.8122401558117254,0.8122401558117254,5542.0,0.0051,,3500.0,1260739.8569233746,0.0027761476570917387
"Kalispell, MT",134.02398292180368,3429.1304222764893,1.3290118491536018e-06,0.008331539982639719,0.46045258132399636,0.5466434884050009,0.8096824802007738,0.8096824802007738,0.8096824802007738,4271.0,0.0084,,2058.5,635453.2174293323,0.003239420217789553
"Idaho Falls, ID",89.24007471547318,2109.538859324285,-1.033013789825102e-06,0.008308963420567474,0.3191929731187568,0.3054664458096805,0.8080005176283293,0.8080005176283293,0.8080005176283293,3427.0,0.0069,82800.0,1208.5668276972624,390904.31037897646,0.0030917203919434227
"Butte, MT",51.89531555782872,1446.1707830759408,1.5962750705974865e-06,0.008286335879201603,0.20139829511023513,0.573932672856955,0.8063147570788687,0.8063147570788687,0.8063147570788687,4271.0,0.0084,,1099.1666666666667,268112.150301564,0.004099652572367045
"Aberdeen, WA",71.48934256423259,1716.3722117045206,-1.404606842314408e-06,0.008210243400400215,0.26320273980799025,0.26752455730118474,0.8006458380920487,0.8006458380920487,0.8006458380920487,2801.0,0.0098,,1384.25,320107.0003014219,0.004324335296312016
"Shelton, WA",96.80317923855912,2408.8517965244787,-1.2069439339147143e-06,0.008190486239725642,0.34304888977578885,0.28770713063651915,0.7991739220099602,0.7991739220099602,0.7991739220099602,2801.0,0.0098,,1740.375,449822.1746216556,0.00386902891451233
"Palm Bay, FL",69.40780870384422,1956.5615336089186,-7.259729217461347e-07,0.008186126151005755,0.25663706322099605,0.3368171675364792,0.7988490937205192,0.7988490937205192,0.7988490937205192,5854.0,0.0089,255800.0,2020.6079150506584,365323.0303034143,0.005531017065561042
"Tampa, FL",75.8304952634763,2106.696775996819,2.358573568595292e-07,0.008131535775186109,0.27689581738909336,0.435025831424246,0.7947820896899448,0.7947820896899448,0.7947820896899448,5854.0,0.0089,1548500.0,2099.0094408498258,395093.27571237047,0.005312693406551199
"Fernley, NV",80.15855959621749,2075.6386075764253,-3.4290335577356026e-06,0.008102209501557184,0.290547611000167,0.06081839792716951,0.792597271006069,0.792597271006069,0.792597271006069,2707.0,0.006,,1687.5,390299.92513166135,0.004323598062261348
"Burley, ID",64.51065556773116,1674.471480227258,4.4530851529090613e-07,0.008098725885437441,0.24119022168717466,0.4564120560803362,0.792337740263017,0.792337740263017,0.792337740263017,3427.0,0.0069,,,314828.35056468187,
"Cedar City, UT",85.67584675395116,2225.1220308168326,-9.157060398940535e-07,0.008083599533684045,0.3079505097973535,0.3174442735415228,0.7912108212296659,0.7912108212296659,0.7912108212296659,2876.0,0.0063,,1500.327380952381,418960.2110661452,0.003581073670777558
"Ocala, FL",55.30266884299504,1485.1952300177709,5.706651300024093e-07,0.008031132005402066,0.21214593660373463,0.4692117213790387,0.7873019701585163,0.7873019701585163,0.7873019701585163,5854.0,0.0089,120900.0,1553.8851471387998,280719.2014823188,0.005535371784094619
"Muskegon, MI",43.174769844236835,1182.2000343758127,-7.566637615356394e-07,0.00802314574272198,0.1738915204633601,0.33368344796415483,0.786706990511986,0.786706990511986,0.786706990511986,3564.0,0.0154,65600.0,1077.882154882155,223445.3644828904,0.004823918175150554
"McMinnville, TN",46.28935018094053,1245.9532788526012,7.657493052139216e-07,0.007983743911556892,0.18371568310810926,0.4891309905259237,0.7837715389098604,0.7837715389098604,0.7837715389098604,4873.0,0.0071,,,236357.6447806347,
"Somerset, KY",32.23129717492605,808.5423906809957,-3.4221637061280687e-06,0.007980718252749286,0.1393730801666941,0.06151985114868921,0.7835461261629995,0.7835461261629995,0.7835461261629995,5182.0,0.0086,,1200.0,153494.61594916796,0.007817863790071947
"Cornelia, GA",55.25272261618827,1572.9240432883914,1.1968833802084014e-06,0.007975009951771334,0.21198839375603254,0.5331523760068182,0.7831208555409074,0.7831208555409074,0.7831208555409074,4006.0,0.0092,,,298624.48824104306,
"Lakeland, FL",62.40191843975354,1673.8911447365642,1.584407179710001e-07,0.007964308213781718,0.23453873921419444,0.4271211263665658,0.7823235719376269,0.7823235719376269,0.7823235719376269,5854.0,0.0089,276200.0,1910.046259612916,317937.38471395965,0.006007617699099264
